dataset,seed,method,layer,lpr_acc
COVID19,123,FT,block_A,76.951748441312
COVID19,123,FT,block_B,88.9943074003795
COVID19,123,FT,block_C,95.64922743290865
COVID19,123,BU,final,96.42857142857144
COVID19,123,BU,block_A,74.97289238275955
COVID19,123,BU,block_B,88.4386012469504
COVID19,123,BU,block_C,94.44971537001898
COVID19,123,Target,final,74.96611547844945
COVID19,123,Target,block_A,65.48522634860396
COVID19,123,Target,block_B,78.24613716454323
COVID19,123,Target,block_C,72.72973705611277
COVID19,456,Retrain,final,78.43589048522634
COVID19,456,Retrain,block_A,69.62591488208186
COVID19,456,Retrain,block_B,81.6888045540797
COVID19,456,Retrain,block_C,79.5608566007048
COVID19,456,FT,final,96.57088641908376
COVID19,456,FT,block_A,76.1656275413391
COVID19,456,FT,block_B,90.93250203307127
COVID19,456,FT,block_C,95.50691244239631
COVID19,456,BU,final,95.27649769585254
COVID19,456,BU,block_A,77.28381675250745
COVID19,456,BU,block_B,91.34589319598808
COVID19,456,BU,block_C,94.5784765519111
COVID19,456,Target,final,59.1217132014096
COVID19,456,Target,block_A,63.89265383572784
COVID19,456,Target,block_B,69.07698563296286
COVID19,456,Target,block_C,58.38980753591759
