dataset,forget_class,seed,method,lpr_acc
CIFAR100,0,123,Retrain,74.84848484848486
CIFAR100,0,123,FT,84.93265993265993
CIFAR100,0,123,BU,81.54882154882155
CIFAR100,0,123,Target,51.64983164983165
CIFAR100,0,456,Retrain,69.84848484848484
CIFAR100,0,456,FT,79.8989898989899
CIFAR100,0,456,BU,83.24915824915824
CIFAR100,0,456,Target,51.5993265993266
CIFAR100,10,42,Retrain,64.81481481481481
CIFAR100,10,42,FT,66.34680134680134
CIFAR100,10,42,BU,66.34680134680134
CIFAR100,10,42,Target,51.63299663299663
CIFAR100,10,123,Retrain,57.97979797979798
CIFAR100,10,123,FT,64.6969696969697
CIFAR100,10,123,BU,63.13131313131313
CIFAR100,10,123,Target,51.54882154882156
CIFAR100,10,456,Retrain,64.81481481481481
CIFAR100,10,456,FT,58.03030303030303
CIFAR100,10,456,BU,59.71380471380472
CIFAR100,10,456,Target,49.98316498316498
CIFAR100,20,42,Retrain,73.26599326599327
CIFAR100,20,42,FT,79.8821548821549
CIFAR100,20,42,BU,79.83164983164983
CIFAR100,20,42,Target,51.66666666666667
CIFAR100,20,123,Retrain,71.5993265993266
CIFAR100,20,123,FT,84.94949494949495
CIFAR100,20,123,BU,79.91582491582491
CIFAR100,20,123,Target,49.98316498316498
CIFAR100,20,456,Retrain,71.51515151515152
CIFAR100,20,456,FT,83.24915824915824
CIFAR100,20,456,BU,79.86531986531986
CIFAR100,20,456,Target,50.0
CIFAR100,30,42,Retrain,56.464646464646464
CIFAR100,30,42,FT,64.76430976430977
CIFAR100,30,42,BU,61.44781144781145
CIFAR100,30,42,Target,53.215488215488215
CIFAR100,30,123,Retrain,61.3973063973064
CIFAR100,30,123,FT,69.86531986531986
CIFAR100,30,123,BU,68.04713804713805
CIFAR100,30,123,Target,53.23232323232323
CIFAR100,30,456,Retrain,63.11447811447811
CIFAR100,30,456,FT,63.0976430976431
CIFAR100,30,456,BU,63.08080808080808
CIFAR100,30,456,Target,51.63299663299663
CIFAR100,40,42,Retrain,53.16498316498317
CIFAR100,40,42,FT,66.4983164983165
CIFAR100,40,42,BU,56.48148148148149
CIFAR100,40,42,Target,51.5993265993266
CIFAR100,40,123,Retrain,61.4983164983165
CIFAR100,40,123,FT,56.53198653198653
CIFAR100,40,123,BU,58.16498316498316
CIFAR100,40,123,Target,49.93265993265993
CIFAR100,40,456,Retrain,54.73063973063973
CIFAR100,40,456,FT,64.83164983164983
CIFAR100,40,456,BU,66.58249158249157
CIFAR100,40,456,Target,49.94949494949495
CIFAR100,50,42,Retrain,57.99663299663301
CIFAR100,50,42,FT,53.013468013468014
CIFAR100,50,42,BU,54.680134680134685
CIFAR100,50,42,Target,51.51515151515152
CIFAR100,50,123,Retrain,56.3973063973064
CIFAR100,50,123,FT,54.78114478114479
CIFAR100,50,123,BU,54.71380471380471
CIFAR100,50,123,Target,51.58249158249159
CIFAR100,50,456,Retrain,54.5959595959596
CIFAR100,50,456,FT,54.680134680134685
CIFAR100,50,456,BU,51.3973063973064
CIFAR100,50,456,Target,51.58249158249159
CIFAR100,60,42,Retrain,74.81481481481482
CIFAR100,60,42,FT,84.86531986531986
CIFAR100,60,42,BU,84.86531986531986
CIFAR100,60,42,Target,64.93265993265993
CIFAR100,60,123,Retrain,76.51515151515152
CIFAR100,60,123,FT,83.28282828282828
CIFAR100,60,123,BU,74.86531986531986
CIFAR100,60,123,Target,61.64983164983165
CIFAR100,60,456,Retrain,81.4983164983165
CIFAR100,60,456,FT,84.86531986531986
CIFAR100,60,456,BU,81.5993265993266
CIFAR100,60,456,Target,53.333333333333336
CIFAR100,70,42,Retrain,74.64646464646465
CIFAR100,70,42,FT,76.48148148148148
CIFAR100,70,42,BU,77.97979797979797
CIFAR100,70,42,Target,56.56565656565656
CIFAR100,70,123,Retrain,69.66329966329967
CIFAR100,70,123,FT,68.08080808080807
CIFAR100,70,123,BU,73.03030303030302
CIFAR100,70,123,Target,58.1986531986532
CIFAR100,70,456,Retrain,76.31313131313131
CIFAR100,70,456,FT,71.38047138047139
CIFAR100,70,456,BU,73.1144781144781
CIFAR100,70,456,Target,58.28282828282829
CIFAR100,80,42,Retrain,56.464646464646464
CIFAR100,80,42,FT,56.34680134680134
CIFAR100,80,42,BU,62.91245791245791
CIFAR100,80,42,Target,49.81481481481482
CIFAR100,80,123,Retrain,56.498316498316505
CIFAR100,80,123,FT,61.43097643097644
CIFAR100,80,123,BU,61.3973063973064
CIFAR100,80,123,Target,51.58249158249159
CIFAR100,80,456,Retrain,58.063973063973066
CIFAR100,80,456,FT,56.41414141414142
CIFAR100,80,456,BU,56.36363636363636
CIFAR100,80,456,Target,51.48148148148148
CIFAR100,90,42,Retrain,53.16498316498317
CIFAR100,90,42,FT,66.54882154882155
CIFAR100,90,42,BU,68.13131313131314
CIFAR100,90,42,Target,49.98316498316498
CIFAR100,90,123,Retrain,54.8989898989899
CIFAR100,90,123,FT,64.8989898989899
CIFAR100,90,123,BU,68.24915824915824
CIFAR100,90,123,Target,49.966329966329965
CIFAR100,90,456,Retrain,59.78114478114478
CIFAR100,90,456,FT,61.58249158249159
