dataset,seed,method,unlearn_time,audit_time,total_time,lpr_acc
MNIST,42,Retrain,767.7275087833405,1.9768571853637693,769.7043659687042,99.05727257643632
MNIST,42,FT,55.44777417182922,1.8667547702789309,57.31452894210816,99.58595411557084
MNIST,42,Fisher,1.3138418197631836,1.951042890548706,3.2648847103118896,98.49163612229816
MNIST,42,Amnesiac,6.228970527648926,1.9347989559173584,8.163769483566284,99.68211231277434
MNIST,42,UNSIR,68.75767874717712,1.9476430416107176,70.70532178878784,97.40108903871968
MNIST,42,BU,6.221365690231323,1.9275460243225095,8.148911714553833,98.69865906451273
MNIST,42,SSD,12.468942403793337,1.89383864402771,14.362781047821043,99.58595411557084
MNIST,42,Target,0.9323978424072266,2.201786518096924,3.1341843605041504,98.11454515287268
MNIST,123,Retrain,777.5848801136017,1.952608346939087,779.5374884605408,99.71906722777804
MNIST,123,FT,55.622434854507446,1.936506986618042,57.55894184112549,99.4343635458618
MNIST,123,Fisher,1.2617034912109375,1.96132493019104,3.223028421401977,98.36229391978522
MNIST,123,Amnesiac,6.200801849365234,1.9085581302642824,8.109359979629517,99.26429551865093
MNIST,123,UNSIR,68.49412274360657,1.940592050552368,70.43471479415894,96.89088495708704
MNIST,123,BU,6.214602708816528,1.9401702880859373,8.154772996902466,98.88720454922546
MNIST,123,SSD,12.45577836036682,1.9150426387786863,14.370820999145508,99.62290903057452
MNIST,123,Target,0.3597738742828369,2.081611633300781,2.441385507583618,99.36045371585442
MNIST,456,Retrain,754.8034515380859,1.9322047233581543,756.7356562614441,99.36045371585442
MNIST,456,FT,54.78772282600403,1.90879487991333,56.69651770591736,99.45284100336364
MNIST,456,Fisher,1.2631127834320068,1.933013916015625,3.196126699447632,97.58586361373818
MNIST,456,Amnesiac,6.009552001953125,1.9258625507354736,7.935414552688599,99.45284100336364
MNIST,456,UNSIR,67.554447889328,1.928161859512329,69.48260974884033,97.4749988687271
MNIST,456,BU,6.232603788375855,1.9448425769805908,8.177446365356445,99.22734060364722
MNIST,456,SSD,12.361918210983276,1.888216257095337,14.250134468078612,99.4343635458618
MNIST,456,Target,0.3460536003112793,2.1014246940612797,2.4474782943725586,98.38077137728706
CIFAR10,42,Retrain,906.0374915599824,2.4075162410736084,908.445007801056,82.94444444444444
CIFAR10,42,FT,71.0013678073883,2.3257956504821777,73.32716345787048,89.61111111111111
CIFAR10,42,Fisher,1.689619779586792,3.0036866664886475,4.69330644607544,67.74074074074075
CIFAR10,42,Amnesiac,7.938563108444214,2.3550918102264404,10.293654918670654,84.22222222222221
CIFAR10,42,UNSIR,84.00587248802185,2.3425393104553223,86.34841179847717,69.5
