dataset,architecture,seed,method,dr_acc,yu_acc,lpr_acc,lpr_auroc,cka_original,cka_retrain,separability,runtime
YahooAnswers,mlp,123,BU,51.833333333333336,0.1,61.41666666666666,0.7721779320987654,0.9371585745619044,0.9037358760745502,0.0179424914448686,1.366706609725952
YahooAnswers,mlp,123,SSD,55.23888888888889,36.85,62.48148148148148,0.7822152777777778,0.9993192131730942,0.9295122575631,0.0229623581923321,2.1279003620147705
YahooAnswers,mlp,123,Target,50.33888888888889,0.0,61.28703703703704,0.7681875,0.9526174596496716,0.9074920587972416,0.0182340564603792,0.9648842811584472
YahooAnswers,mlp,456,Retrain,56.96666666666667,0.0,53.82407407407408,0.7233893518518518,0.9230073629840364,0.9999999754479196,0.0080690997011592,104.08568000793456
YahooAnswers,mlp,456,FT,56.36111111111112,5.6,61.3425925925926,0.7779699074074073,0.9917039225754316,0.9194402771743908,0.0207532289665053,8.311638355255127
YahooAnswers,mlp,456,Fisher,11.161111111111111,0.2,54.27777777777778,0.6658412037037036,0.7601696456549829,0.7614998156667608,0.0028981383192185,0.2170307636260986
YahooAnswers,mlp,456,Amnesiac,44.105555555555554,2.7,62.28703703703704,0.7774100308641975,0.9203095980693564,0.8851029499143359,0.0202259958801565,1.346851110458374
YahooAnswers,mlp,456,UNSIR,33.361111111111114,0.0,55.61111111111112,0.6813893518518519,0.8303791885123508,0.8247552969550734,0.0030920569460736,11.490816116333008
YahooAnswers,mlp,456,BU,52.583333333333336,0.15,62.47222222222221,0.7756612654320988,0.938733899867348,0.9079933301402476,0.0178675676683104,1.5470023155212402
YahooAnswers,mlp,456,SSD,55.23333333333333,38.1,62.0925925925926,0.7850455246913579,0.9994143082977968,0.9258138483169804,0.0236973016211617,1.805177927017212
YahooAnswers,mlp,456,Target,49.04444444444445,0.0,62.49074074074075,0.7722554012345679,0.9540247181019188,0.905418362085214,0.0198248080636802,1.299027919769287
