dataset,forget_class,seed,method,dr_acc,yu_acc,lpr_acc,lpr_auroc,cka_original,cka_retrain,separability
MNIST,3,123,BU,68.02002224694104,0.0,98.22006116073231,0.9996439020987749,0.849741832890279,0.8389000849903645,0.1614550091371062
MNIST,3,123,Target,10.901001112347052,0.0,96.6236779406528,0.9967229203454272,0.7943207786291815,0.8222650620847521,0.6513356375999593
MNIST,3,456,Retrain,99.2992213570634,0.0,99.11930013913516,0.9997491406537762,0.9827692731968104,1.0000000072609752,0.5088382207000179
MNIST,3,456,FT,99.2769744160178,99.009900990099,98.82634537091084,0.9999351436812204,0.9914404056969311,0.9807994736083442,0.867203920277667
MNIST,3,456,BU,27.4972191323693,0.0,98.25713939580832,0.9992951464223174,0.8055201507022045,0.798918269906403,0.1761011311715727
MNIST,3,456,Target,10.923248053392658,0.0,96.95371094395313,0.9983063934869572,0.8184516404326667,0.8445524669318287,0.4469772899794372
MNIST,6,42,Retrain,99.3364299933643,0.0,98.5509824294178,0.9997957954409726,0.9817965325526264,0.9999999913849676,0.3313330707723498
MNIST,6,42,FT,99.38066799380668,99.16492693110648,99.2662763234446,0.9997559819734894,0.9927499387808032,0.9840518212920646,0.8863658755059057
MNIST,6,42,BU,57.33244857332448,0.0,98.22098015619724,0.9996891980925496,0.8432421826167105,0.8459862044578115,0.1088599640217794
MNIST,6,42,Target,10.860429108604292,0.0,95.96451977894536,0.9935604927109248,0.7485788923793116,0.7859517946583828,0.4216141202423814
MNIST,6,123,Retrain,99.41384649413848,0.0,98.65147932717808,0.9997135998952008,0.9811723577102852,1.0000000054331115,0.3074810159059385
MNIST,6,123,FT,99.31431099314312,99.16492693110648,99.12891986062718,0.9997380016978518,0.9879584144648176,0.9799886800828744,0.9298038186039864
MNIST,6,123,BU,71.33377571333776,0.0,98.5509824294178,0.9998176286328184,0.8605033887329396,0.8603851167485259,0.22369760341996
MNIST,6,123,Target,10.860429108604292,0.0,96.927748830961,0.9971604007546578,0.8181276176531793,0.8359131200789267,0.6747229026770243
MNIST,6,456,Retrain,99.41384649413848,0.0,98.58784199447491,0.9994875621443275,0.9770410915464846,0.9999999886070324,0.3826030662878943
MNIST,6,456,FT,99.31431099314312,99.26931106471817,99.28470610597316,0.9998445990462748,0.9942394719797284,0.9845692025745292,0.8641581226005138
MNIST,6,456,BU,56.73523556735236,0.0,98.3951961840718,0.9998869811245634,0.8602746669387793,0.8271312615589825,0.2657528111677527
MNIST,6,456,Target,12.552532625525329,0.0,98.32147705395752,0.998105649531036,0.7884005038532018,0.8213420861658187,0.177961759564729
MNIST,9,42,Retrain,99.55511066622178,0.0,98.75218890075882,0.9987640588307996,0.9832981496575732,0.9999999955786336,0.2158754664514439
MNIST,9,42,FT,99.48837726615504,97.81962338949457,98.4592341325345,0.9986172143354493,0.9951095123303044,0.9820442692399064,0.6056424031741157
MNIST,9,42,BU,43.89945501056612,0.0,96.97225006149112,0.9954527154606452,0.8774622151565317,0.8740123765217316,0.087887708703852
MNIST,9,42,Target,21.74396618841063,0.0,96.40304408638862,0.9969223841182784,0.8420446059888199,0.8425858506750257,0.0430135725475903
MNIST,9,123,Retrain,99.48837726615504,0.0,98.89866628487098,0.998290485333294,0.984649977366298,0.9999999708039856,0.215420354966868
MNIST,9,123,FT,99.45501056612169,98.01783944499503,99.10076102159717,0.9989818781655696,0.997267458965598,0.9829414113231246,0.6036989455011925
MNIST,9,123,BU,61.92859526192859,0.0,97.964184627584,0.9986930839913802,0.8571256235923046,0.8599674199281108,0.2226149017200373
MNIST,9,123,Target,21.777332888444,0.0,95.5965006956758,0.9972772583153756,0.8334231777896433,0.836345268631747,0.0471556253069122
MNIST,9,456,Retrain,99.48837726615504,0.0,97.90856727497,0.998976983349058,0.9800202836311008,0.9999999739859546,0.2114997842310695
MNIST,9,456,FT,99.43276609943275,97.81962338949457,98.4592341325345,0.9980861267439312,0.9960864840624728,0.9811061077418048,0.606026838586948
MNIST,9,456,BU,36.94805917028139,0.0,97.87148903989396,0.998541344679518,0.7779839228320815,0.7962566672993461,0.0730660731700138
MNIST,9,456,Target,11.7895673451229,0.0,96.84431179491698,0.9942449194863868,0.7917834430562712,0.801863535126843,0.043122862273059
CIFAR10,0,42,Retrain,90.23333333333332,0.0,82.16666666666667,0.9618876543209876,0.9903310273931794,0.9999999740721116,0.0952441120792845
CIFAR10,0,42,FT,89.47777777777777,47.3,90.7222222222222,0.984927160493827,0.9986454231418648,0.991011413228836,0.1653136143932641
CIFAR10,0,42,BU,50.94444444444444,0.0,88.03703703703704,0.9722728395061728,0.9716747158368664,0.9637232712358608,0.1205068310106269
CIFAR10,0,42,Target,25.5,0.0,79.48148148148148,0.9515728395061728,0.8799948048087936,0.8867406122865442,0.0527601987244639
CIFAR10,0,123,Retrain,90.18888888888888,0.0,81.75925925925927,0.959083950617284,0.9897422062124358,0.9999999656038326,0.0935886649059608
CIFAR10,0,123,FT,89.72222222222223,46.2,91.57407407407408,0.9823987654320988,0.9986667913543222,0.9899739559116002,0.1608777085297199
CIFAR10,0,123,BU,45.01111111111111,0.0,87.14814814814815,0.9717641975308644,0.9636189429540156,0.9572219209679972,0.0873773097893469
CIFAR10,0,123,Target,20.14444444444445,0.0,82.98148148148148,0.9651444444444444,0.911045799068445,0.9001719309434766,0.1961299575276485
CIFAR10,0,456,Retrain,90.13333333333334,0.0,82.31481481481482,0.9619839506172838,0.9904152158007202,1.0000001572534982,0.1010807336823222
CIFAR10,0,456,FT,89.65555555555555,47.5,91.90740740740742,0.9839246913580246,0.998615637334115,0.9906638327493806,0.1602951047945087
CIFAR10,0,456,BU,34.98888888888889,0.1,85.64814814814814,0.9662975308641976,0.939784867781876,0.9391947750763964,0.1776307896044598
CIFAR10,0,456,Target,24.75555555555556,0.0,83.75925925925927,0.9624234567901234,0.9278502063927432,0.9272141791435567,0.1621610982614415
CIFAR10,3,42,Retrain,91.9,0.0,70.85185185185185,0.9029753086419754,0.9910398065691935,0.99999997770865,0.0814859120172387
CIFAR10,3,42,FT,91.93333333333334,16.9,82.24074074074075,0.9481296296296295,0.9989777366164516,0.9909514113298452,0.1069916929235223
CIFAR10,3,42,BU,44.66666666666666,0.0,75.38888888888889,0.917388888888889,0.92434003826471,0.9173289250326327,0.0291443507039698
CIFAR10,3,42,Target,16.855555555555554,0.0,68.96296296296296,0.8864555555555556,0.9373619229909332,0.9309836640724528,0.1257913211260144
CIFAR10,3,123,Retrain,91.77777777777776,0.0,73.64814814814815,0.901074074074074,0.9912035479216492,0.9999999593483174,0.0781608538671107
CIFAR10,3,123,FT,91.88888888888889,18.2,81.62962962962963,0.9431135802469136,0.9986723526873308,0.9910270077986444,0.1089634121108283
CIFAR10,3,123,BU,50.68888888888889,0.0,76.24074074074075,0.9128333333333334,0.9455192257021596,0.942479486805514,0.0562698078091419
CIFAR10,3,123,Target,27.655555555555555,0.0,70.2037037037037,0.8886592592592594,0.8637102457588027,0.8621276191383004,0.2162546069890308
CIFAR10,3,456,Retrain,92.08888888888887,0.0,68.27777777777777,0.9050666666666668,0.9903956734983722,0.9999999698831958,0.0786461676785438
CIFAR10,3,456,FT,92.21111111111112,19.1,82.27777777777779,0.9547345679012345,0.9986031476903434,0.9908045163208974,0.1122521003271683
CIFAR10,3,456,BU,55.15555555555556,0.0,77.61111111111111,0.924716049382716,0.9539149446145204,0.9456854182881882,0.059091461999164
CIFAR10,3,456,Target,18.266666666666666,0.0,71.14814814814815,0.9087407407407408,0.8641957579908953,0.8523054134916886,0.1576243307474904
CIFAR10,6,42,Retrain,89.7,0.0,84.14814814814815,0.968837037037037,0.989923572512164,1.0000001035616224,0.1405869207717108
CIFAR10,6,42,FT,89.54444444444445,55.8,91.62962962962963,0.9870123456790124,0.998626003560526,0.9903558558515456,0.2052467010061896
