dataset,architecture,forget_ratio,seed,method,dr_acc,lpr_acc,lpr_auroc
CIFAR10,resnet18,0.1,456,FT,88.85,48.199999999999996,0.4925866666666667
CIFAR10,resnet18,0.1,456,Amnesiac,19.71,51.2,0.5211448888888888
CIFAR10,resnet18,0.1,456,UNSIR,23.49,48.13333333333333,0.4646577777777778
CIFAR10,resnet18,0.1,456,BU,2.35,48.6,0.48262044444444446
CIFAR10,resnet18,0.1,456,Target,23.59,49.4,0.5086542222222221
CIFAR100,resnet18,0.05,42,Retrain,61.69,46.86666666666667,0.47264888888888884
CIFAR100,resnet18,0.05,42,FT,61.54,52.33333333333333,0.5094986666666667
CIFAR100,resnet18,0.05,42,Amnesiac,6.07,50.46666666666666,0.49282133333333333
CIFAR100,resnet18,0.05,42,UNSIR,1.69,50.86666666666666,0.5084960000000001
CIFAR100,resnet18,0.05,42,BU,4.09,48.66666666666667,0.49339377777777776
CIFAR100,resnet18,0.05,42,Target,1.0,48.0,0.4848408888888888
CIFAR100,resnet18,0.05,123,Retrain,61.99,50.8,0.5024444444444445
CIFAR100,resnet18,0.05,123,FT,61.79,47.86666666666667,0.47929066666666664
CIFAR100,resnet18,0.05,123,Amnesiac,6.86,49.73333333333333,0.5005813333333333
CIFAR100,resnet18,0.05,123,UNSIR,1.81,50.06666666666667,0.4968177777777778
CIFAR100,resnet18,0.05,123,BU,5.3,53.0,0.519744
CIFAR100,resnet18,0.05,123,Target,1.0,50.73333333333333,0.504631111111111
CIFAR100,resnet18,0.05,456,Retrain,61.7,49.2,0.49657955555555555
CIFAR100,resnet18,0.05,456,FT,61.66,52.26666666666666,0.5227271111111111
CIFAR100,resnet18,0.05,456,Amnesiac,7.17,52.800000000000004,0.5368995555555556
CIFAR100,resnet18,0.05,456,UNSIR,1.94,51.06666666666667,0.5020906666666667
CIFAR100,resnet18,0.05,456,BU,5.67,49.93333333333333,0.5039377777777778
CIFAR100,resnet18,0.05,456,Target,0.67,48.4,0.48057777777777777
CIFAR100,resnet18,0.1,42,Retrain,61.35,51.13333333333333,0.5136337777777777
CIFAR100,resnet18,0.1,42,FT,61.69,51.46666666666667,0.5108924444444445
